currency_pair,last,lowest_ask,highest_bid,change_percentage,change_utc0,change_utc8,base_volume,quote_volume,high_24h,low_24h,etf_net_value,etf_pre_net_value,etf_pre_timestamp,etf_leverage
WIT_BTC,0.0000002889,0.0000002905,0.0000002868,-6.2,2.08,2.22,1156037.35501395,0.335078612279168782,0.0000003081,0.0000002774
BXC_USDT,0.00019366,0.00019476,0.00019311,-0.38,0,-0.37,91440340.905426,17812.093340283,0.00019604,0.00019312
GUM_USDT,0.014444,0.014508,0.014316,-12.82,0.5,-2.8,1430914.5585128,21298.445221938,0.016671,0.014325
KIBA_USDT,0.000002256,0.000002275,0.000002237,-4.97,0.26,0.66,10000910090.208,22865.57364466,0.00000239,0.000002125
SPONGE_USDT,0.000489,0.0004904,0.0004849,-20.47,-2.41,-12.75,96824312.625335,51747.806556175,0.0006237,0.00048
SHARE_ETH,0.000003613,0.000003674,0.000003495,0.16,0.52,3.08,563744.1225090093,2.014951128202128205,0.000003696,0.000003437
GMX_USDT,42,41.96,41.88,-5.19,-1.8,-4.19,323.69309976,14008.894257059,44.53,41.71
GITCOIN_ETH,0.000479,0.000483,0.000476,-2.24,-1.23,0,13256.1461133697,6.4039792904478146,0.000491,0.000473
CFX_USDT,0.21022,0.21027,0.21022,-6.73,-3.26,-6.36,27764875.872191,6163988.8206139,0.23395,0.20992
BSW_USDT,0.08596,0.08599,0.08585,-5.02,-0.6,-2.78,468810.66690718,41072.087215811,0.09052,0.08566
TOKEN_TRY,0.773,0.763,0.762,-2.02,1.17,0.25,209373.24412735,162170.31984842,0.799,0.75
ITRUMP_USDT,0.04998,0.04994,0.04993,-19.67,-6.14,-17.33,420792.671403,23057.372229125,0.06266,0.04896
ITGR_ETH,0.000004218,0.000004288,0.000004147,2.75,0.86,2.5,764461.57332566,3.1879903694542413,0.000004321,0.000004057
MTD_USDT,0.05567,0.05657,0.055,0.59,-1.03,-0.9,166933.65646771,9417.3115796467271,0.05833,0.05525
TON_USDT,2.052,2.052,2.049,-1.86,-0.82,-1.62,67464.607665432,139687.71439388,2.104,2.031
BSV_BTC,0.001615,0.001616,0.001611,-0.55,-0.24,-0.12,256.7365031389,0.4166276061018327,0.00164,0.001606
NFTB_USDT,0.018908,0.018966,0.018833,-7.88,-2.06,-3.78,2717721.1944674,52635.398607641,0.020775,0.018472
ALAYA_ETH,0.00001253,0.00001267,0.00001224,4.24,-0.31,-6,338734.7064664369,4.302733654492030275,0.00001345,0.00001194
OCTO_USDT,0.3692,0.374,0.3651,4.35,0.18,3.64,68264.487852044,24816.039303314,0.4049,0.3528
SUKU_USDT,0.0504,0.05056,0.05024,-4.74,0.05,-2.98,860074.23252472,44258.336828573,0.05291,0.05013
BAND_ETH,0.00072,0.000721,0.000718,-0.41,0.13,-0.41,8070.8138770733,5.8387921332998963,0.000734,0.000714
VAI_USDT,0.11488,0.11512,0.11467,-3.55,-1.1,-1.33,1989435.721622,234876.62910741,0.12868,0.11315
BUY_USDT,0.02521,0.02523,0.0252,-2.24,0.03,-0.39,2654357.5503628,67276.018988605,0.02589,0.02487
MOBI_BTC,0.000000217,0.00000022,0.000000215,0.93,0.93,4.32,1564376.2132305271,0.3349061824882917081,0.000000219,0.000000205
CWAR_USDT,0.01691,0.01703,0.01682,-8.34,-3.37,-3.86,1694879.2612428,29942.455552985,0.01853,0.01671
SWRV_ETH,0.00000937,0.00000953,0.00000924,-0.95,2.51,6.59,467516.2565602188,4.173314115746937053,0.00000949,0.0000086
SUDO_USDT,0.2522,0.2531,0.2503,1.48,0.55,0.67,87651.14698621,21911.633245441,0.2599,0.2401
STRAX_ETH,0.000363,0.0003636,0.0003619,-2.6,-1.46,-1.94,17307.87435653,6.38648564773387771,0.0003736,0.0003598
UOS_USDT,0.1676,0.1677,0.1671,-2.78,-0.65,-1.52,321657.34462468,54816.621492868,0.1731,0.167
FTT_USDT,1.849,1.849,1.848,-30.85,-19.5,-30.21,10549530.78726,22978312.39249,3.252,1.431
REAP_USDT,0.003344,0.003368,0.003337,-4.01,0.08,-3.43,45090210.897431,153651.67659353,0.003534,0.003281
BABYGROK_USDT,0.00000000002484,0.00000000002486,0.00000000002482,-6.4,-2.81,-3.27,4.3109145320974e+16,1113447.365578,0.00000000002712,0.00000000002473
